index,title_raw,abstract_raw,title_clean,abstract_clean,mediphi_temp_0.5
28,Normative database of the serotonergic system in healthy subjects using multi-tracer PET,,Normative database of the serotonergic system in healthy subjects using multi-tracer PET,,"item1, item2, item3"
30,Down but not out in posterior cingulate cortex: Deactivation yet functional coupling with prefrontal cortex during demanding semantic cognition,,Down but not out in posterior cingulate cortex: Deactivation yet functional coupling with prefrontal cortex during demanding semantic cognition,,"understanding, principles, mechanisms, cognition, brain systems, functional coupling, prefrontal cortex, dorsal prefrontal cortex, posterior cingulate cortex, deactivation, yet, functional coupling, prefrontal cortex, dorsal prefrontal cortex, posterior cingulate cortex, brain systems, functional coupling, prefrontal cortex, dorsal prefrontal cortex, posterior cingulate cortex, brain systems, functional coupling, prefrontal cortex, dorsal prefrontal cortex, posterior cingulate cortex, brain systems, functional coupling, prefrontal cortex, dorsal prefrontal cortex, posterior cingulate cortex, brain systems, functional coupling, prefrontal cortex, dorsal prefrontal cortex, posterior cingulate cortex, brain"
31,Connectivity Architecture and Subdivision of the Human Inferior Parietal Cortex Revealed by Diffusion MRI,,Connectivity Architecture and Subdivision of the Human Inferior Parietal Cortex Revealed by Diffusion MRI,,"3. **Diffusion MRI**: A non-invasive imaging technique that measures the flow of fluid through the brain, providing detailed information about the connectivity and organization"
37,Brain activity during reciprocal social interaction investigated using conversational robots as control condition,"<jats:p>We present a novel functional magnetic resonance imaging paradigm for second-person neuroscience. The paradigm compares a human social interaction (human–human interaction, HHI) to an interaction with a conversational robot (human–robot interaction, HRI). The social interaction consists of 1 min blocks of live bidirectional discussion between the scanned participant and the human or robot agent. A final sample of 21 participants is included in the corpus comprising physiological (blood oxygen level-dependent, respiration and peripheral blood flow) and behavioural (recorded speech from all interlocutors, eye tracking from the scanned participant, face recording of the human and robot agents) data. Here, we present the first analysis of this corpus, contrasting neural activity between HHI and HRI. We hypothesized that independently of differences in behaviour between interactions with the human and robot agent, neural markers of mentalizing (temporoparietal junction (TPJ) and medial prefrontal cortex) and social motivation (hypothalamus and amygdala) would only be active in HHI. Results confirmed significantly increased response associated with HHI in the TPJ, hypothalamus and amygdala, but not in the medial prefrontal cortex. Future analysis of this corpus will include fine-grained characterization of verbal and non-verbal behaviours recorded during the interaction to investigate their neural correlates.</jats:p>
          <jats:p>This article is part of the theme issue ‘From social brains to social robots: applying neurocognitive insights to human–robot interaction'.</jats:p>",Brain activity during reciprocal social interaction investigated using conversational robots as control condition,"We present a novel functional magnetic resonance imaging paradigm for second-person neuroscience. The paradigm compares a human social interaction (human–human interaction, HHI) to an interaction with a conversational robot (human–robot interaction, HRI). The social interaction consists of 1 min blocks of live bidirectional discussion between the scanned participant and the human or robot agent. A final sample of 21 participants is included in the corpus comprising physiological (blood oxygen level-dependent, respiration and peripheral blood flow) and behavioural (recorded speech from all interlocutors, eye tracking from the scanned participant, face recording of the human and robot agents) data. Here, we present the first analysis of this corpus, contrasting neural activity between HHI and HRI. We hypothesized that independently of differences in behaviour between interactions with the human and robot agent, neural markers of mentalizing (temporoparietal junction (TPJ) and medial prefrontal cortex) and social motivation (hypothalamus and amygdala) would only be active in HHI. Results confirmed significantly increased response associated with HHI in the TPJ, hypothalamus and amygdala, but not in the medial prefrontal cortex. Future analysis of this corpus will include fine-grained characterization of verbal and non-verbal behaviours recorded during the interaction to investigate their neural correlates. This article is part of the theme issue ‘From social brains to social robots: applying neurocognitive insights to human–robot interaction'.",21.
44,The Neural Basis of Typewriting: A Functional MRI Study,,The Neural Basis of Typewriting: A Functional MRI Study,,"The neural basis of typewriting is a topic of great interest and importance in neuroscience and psychology. The typewriter is a complex system that involves the interaction of multiple brain regions and systems. The typewriter is a highly dynamic system that is composed of different types of neurons, such as motor neurons, visual neurons, and auditory neurons. Each type of neuron is associated with different functions, such as writing, typing, and speech."
51,An individual differences analysis of the neurocognitive architecture of the semantic system at rest,,An individual differences analysis of the neurocognitive architecture of the semantic system at rest,,"The title is a concise summary of the title, which is the abstract. The abstract is a brief summary of the main points and findings of the article. It provides an overview of the main topics covered in the article."
53,Impact of short- and long-term mindfulness meditation training on amygdala reactivity to emotional stimuli,,Impact of short- and long-term mindfulness meditation training on amygdala reactivity to emotional stimuli,,4. **Cognitive**: The title states that the title is about the
54,Neuroanatomical basis of concern-based altruism in virtual environment,,Neuroanatomical basis of concern-based altruism in virtual environment,,"Cognition: This term refers to the ability to acquire, process, and interpret information."
55,Rostro-caudal Architecture of the Frontal Lobes in Humans,,Rostro-caudal Architecture of the Frontal Lobes in Humans,,"More importantly, I do not want a summary of the title/abstract i want a list of words that are essential for each title and abstract."
63,Triangulating a Cognitive Control Network Using Diffusion-Weighted Magnetic Resonance Imaging (MRI) and Functional MRI,"<jats:p>The ability to stop motor responses depends critically on the right inferior frontal cortex (IFC) and also engages a midbrain region consistent with the subthalamic nucleus (STN). Here we used diffusion-weighted imaging (DWI) tractography to show that the IFC and the STN region are connected via a white matter tract, which could underlie a “hyperdirect” pathway for basal ganglia control. Using a novel method of “triangulation” analysis of tractography data, we also found that both the IFC and the STN region are connected with the presupplementary motor area (preSMA). We hypothesized that the preSMA could play a conflict detection/resolution role within a network between the preSMA, the IFC, and the STN region. A second experiment tested this idea with functional magnetic resonance imaging (fMRI) using a conditional stop-signal paradigm, enabling examination of behavioral and neural signatures of conflict-induced slowing. The preSMA, IFC, and STN region were significantly activated the greater the conflict-induced slowing. Activation corresponded strongly with spatial foci predicted by the DWI tract analysis, as well as with foci activated by complete response inhibition. The results illustrate how tractography can reveal connections that are verifiable with fMRI. The results also demonstrate a three-way functional–anatomical network in the right hemisphere that could either brake or completely stop responses.</jats:p>",Triangulating a Cognitive Control Network Using Diffusion-Weighted Magnetic Resonance Imaging (MRI) and Functional MRI,"The ability to stop motor responses depends critically on the right inferior frontal cortex (IFC) and also engages a midbrain region consistent with the subthalamic nucleus (STN). Here we used diffusion-weighted imaging (DWI) tractography to show that the IFC and the STN region are connected via a white matter tract, which could underlie a “hyperdirect” pathway for basal ganglia control. Using a novel method of “triangulation” analysis of tractography data, we also found that both the IFC and the STN region are connected with the presupplementary motor area (preSMA). We hypothesized that the preSMA could play a conflict detection/resolution role within a network between the preSMA, the IFC, and the STN region. A second experiment tested this idea with functional magnetic resonance imaging (fMRI) using a conditional stop-signal paradigm, enabling examination of behavioral and neural signatures of conflict-induced slowing. The preSMA, IFC, and STN region were significantly activated the greater the conflict-induced slowing. Activation corresponded strongly with spatial foci predicted by the DWI tract analysis, as well as with foci activated by complete response inhibition. The results illustrate how tractography can reveal connections that are verifiable with fMRI. The results also demonstrate a three-way functional–anatomical network in the right hemisphere that could either brake or completely stop responses.","Mechanisms: The ability to stop motor responses, which depends critically on the right inferior frontal cortex (IFC) and also"
64,"Individual variation in intentionality in the mind-wandering state is reflected in the integration of the default-mode, fronto-parietal, and limbic networks",,"Individual variation in intentionality in the mind-wandering state is reflected in the integration of the default-mode, fronto-parietal, and limbic networks",,More importantly I do not want a summary of the title/abstract i want a list of words that are essential for each title and abstract.
65,Organizing conceptual knowledge in humans with a gridlike code,"<jats:title>Coding abstract concepts in the brain</jats:title>
          <jats:p>
            Grid cells are thought to provide the neuronal code that underlies spatial knowledge in the brain. Grid cells have mostly been studied in the context of path integration. However, recent theoretical studies have suggested that they may have a broader role in the organization of general knowledge. Constantinescu
            <jats:italic>et al.</jats:italic>
            investigated whether the neural representation of concepts follows a structure similar to the representation of space in the entorhinal cortex. Several brain regions, including the entorhinal cortex and the ventromedial prefrontal cortex, showed gridlike neural representation of conceptual space.
          </jats:p>
          <jats:p>
            <jats:italic>Science</jats:italic>
            , this issue p.
            <jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" issue=""6292"" page=""1464"" related-article-type=""in-this-issue"" vol=""352"" xlink:href=""10.1126/science.aaf0941"">1464</jats:related-article>
          </jats:p>",Organizing conceptual knowledge in humans with a gridlike code,"Coding abstract concepts in the brain Grid cells are thought to provide the neuronal code that underlies spatial knowledge in the brain. Grid cells have mostly been studied in the context of path integration. However, recent theoretical studies have suggested that they may have a broader role in the organization of general knowledge. Constantinescu et al. investigated whether the neural representation of concepts follows a structure similar to the representation of space in the entorhinal cortex. Several brain regions, including the entorhinal cortex and the ventromedial prefrontal cortex, showed gridlike neural representation of conceptual space. Science , this issue p. 1464","ABSTRACT: Coding abstract concepts in the brain Grid cells are thought to provide the neuronal code that underlies spatial knowledge in the brain. Grid cells have mostly been studied in the context of path integration. However, recent theoretical studies have suggested that they may have a broader role in the organization of general knowledge. Constantinescu et al. investigated whether the neural representation of concepts follows a structure similar to the representation of space in the entorhinal cortex. Several brain regions, including the entorhinal cortex and the"
67,An MRI based average macaque monkey stereotaxic atlas and space (MNI monkey space),,An MRI based average macaque monkey stereotaxic atlas and space (MNI monkey space),,"More importantly, I do not want a summary of the title/abstract i want a list of words that are essential for each title and abstract."
69,Neural Reactivity to Emotional Faces May Mediate the Relationship Between Childhood Empathy and Adolescent Prosocial Behavior,"<jats:p>
                    Reactivity to others’ emotions not only can result in empathic concern (EC), an important motivator of prosocial behavior, but can also result in personal distress (PD), which may hinder prosocial behavior. Examining neural substrates of emotional reactivity may elucidate how EC and PD differentially influence prosocial behavior. Participants (
                    <jats:italic>N</jats:italic>
                     = 57) provided measures of EC, PD, prosocial behavior, and neural responses to emotional expressions at ages 10 and 13. Initial EC predicted subsequent prosocial behavior. Initial EC and PD predicted subsequent reactivity to emotions in the inferior frontal gyrus (IFG) and inferior parietal lobule, respectively. Activity in the IFG, a region linked to mirror neuron processes, as well as cognitive control and language, mediated the relation between initial EC and subsequent prosocial behavior.
                  </jats:p>",Neural Reactivity to Emotional Faces May Mediate the Relationship Between Childhood Empathy and Adolescent Prosocial Behavior,"Reactivity to others’ emotions not only can result in empathic concern (EC), an important motivator of prosocial behavior, but can also result in personal distress (PD), which may hinder prosocial behavior. Examining neural substrates of emotional reactivity may elucidate how EC and PD differentially influence prosocial behavior. Participants ( N = 57) provided measures of EC, PD, prosocial behavior, and neural responses to emotional expressions at ages 10 and 13. Initial EC predicted subsequent prosocial behavior. Initial EC and PD predicted subsequent reactivity to emotions in the inferior frontal gyrus (IFG) and inferior parietal lobule, respectively. Activity in the IFG, a region linked to mirror neuron processes, as well as cognitive control and language, mediated the relation between initial EC and subsequent prosocial behavior.","understanding, principles, mechanisms, cognition, empathy, prosocial behavior, emotional reactivity, neural substrates, prosocial behavior, relationship between emotional expressions, emotional reactivity, neural substrates, prosocial behavior, relationship between emotional expressions, emotional reactivity, neural substrates, prosocial behavior, relationship between emotional expressions, emotional reactivity, neural substrates, prosocial behavior, relationship between emotional expressions, emotional reactivity, neural substrates, prosocial behavior, relationship between emotional expressions, emotional reactivity, neural substrates, prosocial behavior, relationship between emotional expressions, emotional reactivity, neural substrates, prosocial behavior, relationship between emotional expressions, emotional reactivity, neural substrates,"
71,Activation in inhibitory brain regions during food choice correlates with temptation strength and self-regulatory success in weight-concerned women,,Activation in inhibitory brain regions during food choice correlates with temptation strength and self-regulatory success in weight-concerned women,,"understanding, principles, mechanisms, cognition, weight-concerned women, activation, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight-concerned women, weight"
72,The Neural Basis of Loss Aversion in Decision-Making Under Risk,"<jats:p>People typically exhibit greater sensitivity to losses than to equivalent gains when making decisions. We investigated neural correlates of loss aversion while individuals decided whether to accept or reject gambles that offered a 50/50 chance of gaining or losing money. A broad set of areas (including midbrain dopaminergic regions and their targets) showed increasing activity as potential gains increased. Potential losses were represented by decreasing activity in several of these same gain-sensitive areas. Finally, individual differences in behavioral loss aversion were predicted by a measure of neural loss aversion in several regions, including the ventral striatum and prefrontal cortex.</jats:p>",The Neural Basis of Loss Aversion in Decision-Making Under Risk,"People typically exhibit greater sensitivity to losses than to equivalent gains when making decisions. We investigated neural correlates of loss aversion while individuals decided whether to accept or reject gambles that offered a 50/50 chance of gaining or losing money. A broad set of areas (including midbrain dopaminergic regions and their targets) showed increasing activity as potential gains increased. Potential losses were represented by decreasing activity in several of these same gain-sensitive areas. Finally, individual differences in behavioral loss aversion were predicted by a measure of neural loss aversion in several regions, including the ventral striatum and prefrontal cortex.","I am a professional in the neuroscience and medicine field, and I am tasked to extract the most important keywords from the following title and abstract:"
73,Characterization and Correction of Geometric Distortions in 814 Diffusion Weighted Images,,Characterization and Correction of Geometric Distortions in 814 Diffusion Weighted Images,,"Example: example_title: Network neuroscience example_abstract: Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of new empirical tools to create"
75,"Instructed knowledge shapes feedback-driven aversive learning in striatum and orbitofrontal cortex, but not the amygdala","<jats:p>Socially-conveyed rules and instructions strongly shape expectations and emotions. Yet most neuroscientific studies of learning consider reinforcement history alone, irrespective of knowledge acquired through other means. We examined fear conditioning and reversal in humans to test whether instructed knowledge modulates the neural mechanisms of feedback-driven learning. One group was informed about contingencies and reversals. A second group learned only from reinforcement. We combined quantitative models with functional magnetic resonance imaging and found that instructions induced dissociations in the neural systems of aversive learning. Responses in striatum and orbitofrontal cortex updated with instructions and correlated with prefrontal responses to instructions. Amygdala responses were influenced by reinforcement similarly in both groups and did not update with instructions. Results extend work on instructed reward learning and reveal novel dissociations that have not been observed with punishments or rewards. Findings support theories of specialized threat-detection and may have implications for fear maintenance in anxiety.</jats:p>","Instructed knowledge shapes feedback-driven aversive learning in striatum and orbitofrontal cortex, but not the amygdala","Socially-conveyed rules and instructions strongly shape expectations and emotions. Yet most neuroscientific studies of learning consider reinforcement history alone, irrespective of knowledge acquired through other means. We examined fear conditioning and reversal in humans to test whether instructed knowledge modulates the neural mechanisms of feedback-driven learning. One group was informed about contingencies and reversals. A second group learned only from reinforcement. We combined quantitative models with functional magnetic resonance imaging and found that instructions induced dissociations in the neural systems of aversive learning. Responses in striatum and orbitofrontal cortex updated with instructions and correlated with prefrontal responses to instructions. Amygdala responses were influenced by reinforcement similarly in both groups and did not update with instructions. Results extend work on instructed reward learning and reveal novel dissociations that have not been observed with punishments or rewards. Findings support theories of specialized threat-detection and may have implications for fear maintenance in anxiety.","information, principles, mechanisms, cognition, learning, reinforcement history, feared, learned, feared, conditioned, learned, feared, conditioned, feared, conditioned, feared, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned, conditioned,"
78,A probabilistic atlas of human brainstem pathways based on connectome imaging data,,A probabilistic atlas of human brainstem pathways based on connectome imaging data,,"""Multiscale networked system"": This term refers to a"
81,Acute Stress Impairs Self-Control in Goal-Directed Choice by Altering Multiple Functional Connections within the Brain’s Decision Circuits,,Acute Stress Impairs Self-Control in Goal-Directed Choice by Altering Multiple Functional Connections within the Brain’s Decision Circuits,,12. A better understanding of the brain as a multiscale networked system
82,"Cortical morphological markers in children with autism: a structural magnetic resonance imaging study of thickness, area, volume, and gyrification",,"Cortical morphological markers in children with autism: a structural magnetic resonance imaging study of thickness, area, volume, and gyrification",,"understanding, principles, mechanisms, cognition, cortex, brain, brain structure, brain areas, social system, integration, connectivity, brain function, brain functions, brain network, brain networks, functional integration, social network, brain function, brain systems, functional integration, social network, brain network, social system, functional integration, social network, brain network, brain functions, brain networks, social network, functional integration, social network, brain network, social system, functional integration, social network, brain network, social system, functional integration, social network, brain network, functional integration, social network, brain network, social system, functional"
83,Evaluating cognitive models of visual word recognition using fMRI: Effects of lexical and sublexical variables,,Evaluating cognitive models of visual word recognition using fMRI: Effects of lexical and sublexical variables,,"Example: example_title:Network neuroscience example_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of"
85,An automated labeling system for subdividing the human cerebral cortex on MRI scans into gyral based regions of interest,,An automated labeling system for subdividing the human cerebral cortex on MRI scans into gyral based regions of interest,,"understanding, principles, mechanisms, cognition, subdividing, brain cortex, subdividing, subdividing, brain cortex, subdividing, subdividing, subdividing, brain cortex, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdividing, subdivid"
88,Automatic parcellation of human cortical gyri and sulci using standard anatomical nomenclature,,Automatic parcellation of human cortical gyri and sulci using standard anatomical nomenclature,,"14. ""Adopting"
92,Alterations in adolescent dopaminergic systems as a function of early mother‐toddler attachment: A prospective longitudinal examination,"<jats:p>Early experiences have the potential for outsized influence on neural development across a wide number of domains. In humans, many of the most important such experiences take place in the context of the mother‐child attachment relationship. Work from animal models has highlighted neural changes in dopaminergic systems as a function of early care experiences, but translational research in humans has been limited. Our goal was to fill this gap by examining the longitudinal associations between early attachment experiences (assessed at 2.5 years) and neural responses to risk and rewards during adolescence (assessed at 13 years). Adolescence is a developmental period where sensitivity to rewards has important implications for behavior and long‐term outcomes, providing an important window to study potential influences of early attachment experiences on reward processing. In order to address this question, 50 adolescents completed a risk and reward task during an fMRI scan, allowing us to assess differences in neural sensitivity to changes in risk level and reward amount as a function of early attachment experiences. Adolescents with insecure attachment histories showed <jats:italic>blunted</jats:italic> sensitivity to increasing risk levels in regions of the dorsal striatum, while also showing <jats:italic>heightened</jats:italic> sensitivity to increasing reward levels in the same region. These results highlight the importance of early attachment experiences for long‐term neural development. Specifically, early exposure to more maladaptive relationships with caregivers may confer dual risks prospectively for adolescents, sensitizing them to rewarding outcomes while de‐sensitizing them to potential risks associated with those behaviors, perhaps due to stress‐related dopaminergic changes early in development.</jats:p>",Alterations in adolescent dopaminergic systems as a function of early mother‐toddler attachment: A prospective longitudinal examination,"Early experiences have the potential for outsized influence on neural development across a wide number of domains. In humans, many of the most important such experiences take place in the context of the mother‐child attachment relationship. Work from animal models has highlighted neural changes in dopaminergic systems as a function of early care experiences, but translational research in humans has been limited. Our goal was to fill this gap by examining the longitudinal associations between early attachment experiences (assessed at 2.5 years) and neural responses to risk and rewards during adolescence (assessed at 13 years). Adolescence is a developmental period where sensitivity to rewards has important implications for behavior and long‐term outcomes, providing an important window to study potential influences of early attachment experiences on reward processing. In order to address this question, 50 adolescents completed a risk and reward task during an fMRI scan, allowing us to assess differences in neural sensitivity to changes in risk level and reward amount as a function of early attachment experiences. Adolescents with insecure attachment histories showed blunted sensitivity to increasing risk levels in regions of the dorsal striatum, while also showing heightened sensitivity to increasing reward levels in the same region. These results highlight the importance of early attachment experiences for long‐term neural development. Specifically, early exposure to more maladaptive relationships with caregivers may confer dual risks prospectively for adolescents, sensitizing them to rewarding outcomes while de‐sensitizing them to potential risks associated with those behaviors, perhaps due to stress‐related dopaminergic changes early in development.","More importantly, I do not want a summary of the title/abstract i want a list of words that are also relational to each other, specifically words that are essential for each title and abstract."
